timestamp	voltage	current	windSpeed	pitchAngle	rpm	temperature	ambientPressure	humidity	accelerationX	accelerationY	accelerationZ	currentSink
7039070	8529	0	0	-100	0	230	101300000	1000	0	0	-1	0
7046523	8526	2	0	-100	0	230	101300000	1000	0	0	-1	0
7059083	8531	0	0	-100	0	230	101300000	1000	0	0	-1	0
7071643	8536	0	0	-100	0	230	101300000	1000	0	0	-1	0
7084203	8527	0	0	-100	0	230	101300000	1000	0	0	-1	0
7096763	8529	0	0	-100	0	230	101300000	1000	0	0	-1	0
7109323	8529	4	0	-100	0	230	101300000	1000	0	0	-1	0
7121883	8527	4	0	-100	0	230	101300000	1000	0	0	-1	0
7134443	8531	0	0	-100	0	230	101300000	1000	0	0	-1	0
7147004	8522	2	0	-100	0	230	101300000	1000	0	0	-1	0
7159563	8532	0	0	-100	0	230	101300000	1000	0	0	-1	0
7172123	8534	0	0	-100	0	230	101300000	1000	0	0	-1	0
7184683	8529	0	0	-100	0	230	101300000	1000	0	0	-1	0
7197243	8534	0	0	-100	0	230	101300000	1000	0	0	-1	0
7209803	8529	0	0	-100	0	230	101300000	1000	0	0	-1	0
7222363	8529	0	0	-100	0	230	101300000	1000	0	0	-1	0
7234923	8527	0	0	-100	0	230	101300000	1000	0	0	-1	0
7247483	8532	0	0	-100	0	230	101300000	1000	0	0	-1	0
7260043	8536	0	0	-100	0	230	101300000	1000	0	0	-1	0
7272603	8531	0	0	-100	0	230	101300000	1000	0	0	-1	0
7285163	8529	2	0	-100	0	230	101300000	1000	0	0	-1	0
7297723	8527	5	0	-100	0	230	101300000	1000	0	0	-1	0
7310283	8524	0	0	-100	0	230	101300000	1000	0	0	-1	0
7322843	8534	0	0	-100	0	230	101300000	1000	0	0	-1	0
7335403	8536	0	0	-100	0	230	101300000	1000	0	0	-1	0
7347963	8524	1	0	-100	0	230	101300000	1000	0	0	-1	0
7706235	8032	600	0	-100	0	230	101300000	1000	0	0	-1	550
7718795	8049	601	0	-100	0	230	101300000	1000	0	0	-1	550
7731355	8044	600	0	-100	0	230	101300000	1000	0	0	-1	550
7743915	8041	601	0	-100	0	230	101300000	1000	0	0	-1	550
7756475	8044	604	0	-100	0	230	101300000	1000	0	0	-1	550
7769035	8034	605	0	-100	0	230	101300000	1000	0	0	-1	550
7781595	8028	599	0	-100	0	230	101300000	1000	0	0	-1	550
7794155	8036	600	0	-100	0	230	101300000	1000	0	0	-1	550
7806715	8049	603	0	-100	0	230	101300000	1000	0	0	-1	550
7819275	8037	599	0	-100	0	230	101300000	1000	0	0	-1	550
7831835	8037	601	0	-100	0	230	101300000	1000	0	0	-1	550
7844395	8037	603	0	-100	0	230	101300000	1000	0	0	-1	550
7856955	8041	601	0	-100	0	230	101300000	1000	0	0	-1	550
7869515	8049	599	0	-100	0	230	101300000	1000	0	0	-1	550
7882075	8049	603	0	-100	0	230	101300000	1000	0	0	-1	550
7894635	8061	601	0	-100	0	230	101300000	1000	0	0	-1	550
7907195	8042	600	0	-100	0	230	101300000	1000	0	0	-1	550
7919755	8039	606	0	-100	0	230	101300000	1000	0	0	-1	550
7932315	8051	606	0	-100	0	230	101300000	1000	0	0	-1	550
7944875	8044	607	0	-100	0	230	101300000	1000	0	0	-1	550
7957435	8049	604	0	-100	0	230	101300000	1000	0	0	-1	550
7969995	8036	600	0	-100	0	230	101300000	1000	0	0	-1	550
7982555	8044	603	0	-100	0	230	101300000	1000	0	0	-1	550
7995115	8048	604	0	-100	0	230	101300000	1000	0	0	-1	550
8007675	8046	603	0	-100	0	230	101300000	1000	0	0	-1	550
8020235	8032	604	0	-100	0	230	101300000	1000	0	0	-1	550
8032795	8041	603	0	-100	0	230	101300000	1000	0	0	-1	550
8045355	8044	605	0	-100	0	230	101300000	1000	0	0	-1	550
8057915	8051	603	0	-100	0	230	101300000	1000	0	0	-1	550
8070475	8039	599	0	-100	0	230	101300000	1000	0	0	-1	550
8083035	8037	602	0	-100	0	230	101300000	1000	0	0	-1	550
8095595	8049	601	0	-100	0	230	101300000	1000	0	0	-1	550
8108155	8039	600	0	-100	0	230	101300000	1000	0	0	-1	550
8120715	8039	600	0	-100	0	230	101300000	1000	0	0	-1	550
8133275	8035	600	0	-100	0	230	101300000	1000	0	0	-1	550
8145835	8047	601	0	-100	0	230	101300000	1000	0	0	-1	550
8158395	8032	603	0	-100	0	230	101300000	1000	0	0	-1	550
8170955	8042	603	0	-100	0	230	101300000	1000	0	0	-1	550
8183515	8037	602	0	-100	0	230	101300000	1000	0	0	-1	550
8196075	8049	601	0	-100	0	230	101300000	1000	0	0	-1	550
8208635	8035	600	0	-100	0	230	101300000	1000	0	0	-1	550
8221195	8040	597	0	-100	0	230	101300000	1000	0	0	-1	550
8233755	8046	595	0	-100	0	230	101300000	1000	0	0	-1	550
8246315	8047	598	0	-100	0	230	101300000	1000	0	0	-1	550
8258875	8036	599	0	-100	0	230	101300000	1000	0	0	-1	550
8271435	8041	598	0	-100	0	230	101300000	1000	0	0	-1	550
8283995	8056	603	0	-100	0	230	101300000	1000	0	0	-1	550
