timestamp	voltage	current	windSpeed	pitchAngle	rpm	temperature	ambientPressure	humidity	accelerationX	accelerationY	accelerationZ	currentSink
7035070	3006	0	0	-100	0	230	101300000	1000	0	0	-1	0
7042523	3014	0	0	-100	0	230	101300000	1000	0	0	-1	0
7055083	3012	0	0	-100	0	230	101300000	1000	0	0	-1	0
7067643	3010	0	0	-100	0	230	101300000	1000	0	0	-1	0
7080203	3007	0	0	-100	0	230	101300000	1000	0	0	-1	0
7092763	3008	0	0	-100	0	230	101300000	1000	0	0	-1	0
7105323	3009	1	0	-100	0	230	101300000	1000	0	0	-1	0
7117883	3007	4	0	-100	0	230	101300000	1000	0	0	-1	0
7130443	3004	1	0	-100	0	230	101300000	1000	0	0	-1	0
7143004	3008	0	0	-100	0	230	101300000	1000	0	0	-1	0
7155563	3012	0	0	-100	0	230	101300000	1000	0	0	-1	0
7168123	3016	0	0	-100	0	230	101300000	1000	0	0	-1	0
7180683	3013	0	0	-100	0	230	101300000	1000	0	0	-1	0
7193243	3011	0	0	-100	0	230	101300000	1000	0	0	-1	0
7205803	3009	0	0	-100	0	230	101300000	1000	0	0	-1	0
7218363	3008	0	0	-100	0	230	101300000	1000	0	0	-1	0
7230923	3005	0	0	-100	0	230	101300000	1000	0	0	-1	0
7243483	3008	4	0	-100	0	230	101300000	1000	0	0	-1	0
7256043	3008	2	0	-100	0	230	101300000	1000	0	0	-1	0
7268603	3012	0	0	-100	0	230	101300000	1000	0	0	-1	0
7281163	3013	0	0	-100	0	230	101300000	1000	0	0	-1	0
7293723	3014	0	0	-100	0	230	101300000	1000	0	0	-1	0
7306283	3012	0	0	-100	0	230	101300000	1000	0	0	-1	0
7318843	3007	0	0	-100	0	230	101300000	1000	0	0	-1	0
7331403	3010	0	0	-100	0	230	101300000	1000	0	0	-1	0
7343963	3010	0	0	-100	0	230	101300000	1000	0	0	-1	0
7356523	3004	0	0	-100	0	230	101300000	1000	0	0	-1	0
7369083	3008	0	0	-100	0	230	101300000	1000	0	0	-1	0
7381643	3008	3	0	-100	0	230	101300000	1000	0	0	-1	0
7394203	3007	2	0	-100	0	230	101300000	1000	0	0	-1	0
7406763	3007	0	0	-100	0	230	101300000	1000	0	0	-1	0
7419323	3007	1	0	-100	0	230	101300000	1000	0	0	-1	0
