timestamp	voltage	current	windSpeed	pitchAngle	rpm	temperature	ambientPressure	humidity	accelerationX	accelerationY	accelerationZ	currentSink
7037070	5519	0	0	-100	0	230	101300000	1000	0	0	-1	0
7044523	5508	0	0	-100	0	230	101300000	1000	0	0	-1	0
7057083	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
7069643	5504	0	0	-100	0	230	101300000	1000	0	0	-1	0
7082203	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
7094763	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
7107323	5508	0	0	-100	0	230	101300000	1000	0	0	-1	0
7119883	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
7132443	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
7145004	5516	0	0	-100	0	230	101300000	1000	0	0	-1	0
7157563	5502	0	0	-100	0	230	101300000	1000	0	0	-1	0
7170123	5512	0	0	-100	0	230	101300000	1000	0	0	-1	0
7182683	5507	3	0	-100	0	230	101300000	1000	0	0	-1	0
7195243	5504	0	0	-100	0	230	101300000	1000	0	0	-1	0
7207803	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
7220363	5510	0	0	-100	0	230	101300000	1000	0	0	-1	0
7232923	5513	0	0	-100	0	230	101300000	1000	0	0	-1	0
7245483	5504	1	0	-100	0	230	101300000	1000	0	0	-1	0
7258043	5505	0	0	-100	0	230	101300000	1000	0	0	-1	0
7270603	5512	0	0	-100	0	230	101300000	1000	0	0	-1	0
7283163	5522	0	0	-100	0	230	101300000	1000	0	0	-1	0
7295723	5508	4	0	-100	0	230	101300000	1000	0	0	-1	0
7308283	5508	0	0	-100	0	230	101300000	1000	0	0	-1	0
7320843	5510	0	0	-100	0	230	101300000	1000	0	0	-1	0
7333403	5507	0	0	-100	0	230	101300000	1000	0	0	-1	0
7345963	5506	5	0	-100	0	230	101300000	1000	0	0	-1	0
7701675	5505	4	0	-100	0	230	101300000	1000	0	0	-1	0
7714235	5510	0	0	-100	0	230	101300000	1000	0	0	-1	0
7726795	5511	0	0	-100	0	230	101300000	1000	0	0	-1	0
7739355	5505	1	0	-100	0	230	101300000	1000	0	0	-1	0
7751915	5508	4	0	-100	0	230	101300000	1000	0	0	-1	0
7764475	5505	0	0	-100	0	230	101300000	1000	0	0	-1	0
7777035	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
7789595	5505	0	0	-100	0	230	101300000	1000	0	0	-1	0
7802155	5508	0	0	-100	0	230	101300000	1000	0	0	-1	0
7814715	5511	0	0	-100	0	230	101300000	1000	0	0	-1	0
7827275	5505	1	0	-100	0	230	101300000	1000	0	0	-1	0
7839835	5500	0	0	-100	0	230	101300000	1000	0	0	-1	0
7852395	5514	0	0	-100	0	230	101300000	1000	0	0	-1	0
7864955	5512	0	0	-100	0	230	101300000	1000	0	0	-1	0
7877515	5504	2	0	-100	0	230	101300000	1000	0	0	-1	0
7890075	5505	0	0	-100	0	230	101300000	1000	0	0	-1	0
7902635	5507	0	0	-100	0	230	101300000	1000	0	0	-1	0
7915195	5513	0	0	-100	0	230	101300000	1000	0	0	-1	0
7927755	5505	1	0	-100	0	230	101300000	1000	0	0	-1	0
7940315	5508	4	0	-100	0	230	101300000	1000	0	0	-1	0
7952875	5505	0	0	-100	0	230	101300000	1000	0	0	-1	0
7965435	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
7977995	5508	0	0	-100	0	230	101300000	1000	0	0	-1	0
7990555	5507	2	0	-100	0	230	101300000	1000	0	0	-1	0
8003115	5507	0	0	-100	0	230	101300000	1000	0	0	-1	0
8015675	5515	0	0	-100	0	230	101300000	1000	0	0	-1	0
8028235	5506	0	0	-100	0	230	101300000	1000	0	0	-1	0
8040795	5505	4	0	-100	0	230	101300000	1000	0	0	-1	0
8053355	5508	0	0	-100	0	230	101300000	1000	0	0	-1	0
8065915	5511	0	0	-100	0	230	101300000	1000	0	0	-1	0
8078475	5505	2	0	-100	0	230	101300000	1000	0	0	-1	0
8091035	5505	0	0	-100	0	230	101300000	1000	0	0	-1	0
8103595	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
8116155	5510	1	0	-100	0	230	101300000	1000	0	0	-1	0
8128715	5505	0	0	-100	0	230	101300000	1000	0	0	-1	0
8141275	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
8153835	5511	0	0	-100	0	230	101300000	1000	0	0	-1	0
8166395	5508	4	0	-100	0	230	101300000	1000	0	0	-1	0
8178955	5511	0	0	-100	0	230	101300000	1000	0	0	-1	0
8191515	5511	0	0	-100	0	230	101300000	1000	0	0	-1	0
8204075	5505	0	0	-100	0	230	101300000	1000	0	0	-1	0
8216635	5511	0	0	-100	0	230	101300000	1000	0	0	-1	0
8229195	5504	0	0	-100	0	230	101300000	1000	0	0	-1	0
8241755	5512	0	0	-100	0	230	101300000	1000	0	0	-1	0
8254315	5508	4	0	-100	0	230	101300000	1000	0	0	-1	0
8266875	5510	0	0	-100	0	230	101300000	1000	0	0	-1	0
8279435	5505	2	0	-100	0	230	101300000	1000	0	0	-1	0
8291995	5511	0	0	-100	0	230	101300000	1000	0	0	-1	0
8304555	5507	3	0	-100	0	230	101300000	1000	0	0	-1	0
8317115	5511	0	0	-100	0	230	101300000	1000	0	0	-1	0
8329675	5508	4	0	-100	0	230	101300000	1000	0	0	-1	0
8342235	5512	0	0	-100	0	230	101300000	1000	0	0	-1	0
8354795	5508	0	0	-100	0	230	101300000	1000	0	0	-1	0
8367355	5514	0	0	-100	0	230	101300000	1000	0	0	-1	0
8379915	5505	0	0	-100	0	230	101300000	1000	0	0	-1	0
8392475	5508	3	0	-100	0	230	101300000	1000	0	0	-1	0
8405035	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
8417595	5509	4	0	-100	0	230	101300000	1000	0	0	-1	0
8430155	5519	0	0	-100	0	230	101300000	1000	0	0	-1	0
8442715	5510	4	0	-100	0	230	101300000	1000	0	0	-1	0
8455275	5512	0	0	-100	0	230	101300000	1000	0	0	-1	0
8467835	5507	4	0	-100	0	230	101300000	1000	0	0	-1	0
8480395	5516	0	0	-100	0	230	101300000	1000	0	0	-1	0
8492955	5509	4	0	-100	0	230	101300000	1000	0	0	-1	0
8505515	5511	0	0	-100	0	230	101300000	1000	0	0	-1	0
8518075	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
8530635	5509	4	0	-100	0	230	101300000	1000	0	0	-1	0
8543195	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
8555755	5508	0	0	-100	0	230	101300000	1000	0	0	-1	0
8568315	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
8580875	5509	0	0	-100	0	230	101300000	1000	0	0	-1	0
8593435	5509	4	0	-100	0	230	101300000	1000	0	0	-1	0
8605995	5514	4	0	-100	0	230	101300000	1000	0	0	-1	0
8618555	5508	0	0	-100	0	230	101300000	1000	0	0	-1	0
