timestamp	voltage	current	windSpeed	pitchAngle	rpm	temperature	ambientPressure	humidity	accelerationX	accelerationY	accelerationZ	currentSink
7037070	5016	0	0	-100	0	230	101300000	1000	0	0	-1	0
7044523	5012	0	0	-100	0	230	101300000	1000	0	0	-1	0
7057083	5020	0	0	-100	0	230	101300000	1000	0	0	-1	0
7069643	5015	0	0	-100	0	230	101300000	1000	0	0	-1	0
7082203	5014	0	0	-100	0	230	101300000	1000	0	0	-1	0
7094763	5017	0	0	-100	0	230	101300000	1000	0	0	-1	0
7107323	5012	0	0	-100	0	230	101300000	1000	0	0	-1	0
7119883	5015	0	0	-100	0	230	101300000	1000	0	0	-1	0
7132443	5017	0	0	-100	0	230	101300000	1000	0	0	-1	0
7145004	5012	0	0	-100	0	230	101300000	1000	0	0	-1	0
7157563	5019	0	0	-100	0	230	101300000	1000	0	0	-1	0
7170123	5012	0	0	-100	0	230	101300000	1000	0	0	-1	0
7182683	5021	0	0	-100	0	230	101300000	1000	0	0	-1	0
7195243	5015	0	0	-100	0	230	101300000	1000	0	0	-1	0
7207803	5014	0	0	-100	0	230	101300000	1000	0	0	-1	0
7220363	5017	0	0	-100	0	230	101300000	1000	0	0	-1	0
7232923	5015	2	0	-100	0	230	101300000	1000	0	0	-1	0
7245483	5021	0	0	-100	0	230	101300000	1000	0	0	-1	0
7258043	5014	4	0	-100	0	230	101300000	1000	0	0	-1	0
7270603	5021	0	0	-100	0	230	101300000	1000	0	0	-1	0
7283163	5009	0	0	-100	0	230	101300000	1000	0	0	-1	0
7295723	5012	1	0	-100	0	230	101300000	1000	0	0	-1	0
7308283	5021	0	0	-100	0	230	101300000	1000	0	0	-1	0
7320843	5015	0	0	-100	0	230	101300000	1000	0	0	-1	0
7333403	5017	0	0	-100	0	230	101300000	1000	0	0	-1	0
7345963	5015	0	0	-100	0	230	101300000	1000	0	0	-1	0
7716795	9936	1062	0	-100	0	230	101300000	1000	0	0	-1	550
7729355	9917	1051	0	-100	0	230	101300000	1000	0	0	-1	550
7741915	9931	1050	0	-100	0	230	101300000	1000	0	0	-1	550
7754475	9928	1058	0	-100	0	230	101300000	1000	0	0	-1	550
7767035	9933	1059	0	-100	0	230	101300000	1000	0	0	-1	550
7779595	9931	1055	0	-100	0	230	101300000	1000	0	0	-1	550
7792155	9923	1054	0	-100	0	230	101300000	1000	0	0	-1	550
7804715	9928	1056	0	-100	0	230	101300000	1000	0	0	-1	550
7817275	9915	1050	0	-100	0	230	101300000	1000	0	0	-1	550
7829835	9928	1056	0	-100	0	230	101300000	1000	0	0	-1	550
7842395	9933	1059	0	-100	0	230	101300000	1000	0	0	-1	550
7854955	9931	1051	0	-100	0	230	101300000	1000	0	0	-1	550
7867515	9928	1053	0	-100	0	230	101300000	1000	0	0	-1	550
7880075	9925	1056	0	-100	0	230	101300000	1000	0	0	-1	550
